,COD,Chlorophyll,Cl-,Conductivity,DO,Elevation,NH4+-N,NO3--N,Temperature,Turbidity,pH,velocity,ID,mutated,AIC,AUC,BIC,CCI,K,Kappa,N,SSE,Sn,Sp,TSS,threshold,rank,generation
49,3.211 5.322 54.258 69.266,0,0.530 2.428 18.859 54.347,0,0,671.647 673.205 763.611 853.149,0,0,0,0,0,0,290,True,18.601342386120532,0.4806082589285714,57.44990091338455,0.4666666666666667,12.0,0.0,120.0,63.897020462941185,0.0,1.0,0.0,0.5499999999999999,,5
0,12.517 19.412 33.031 43.813,0,0,0,0,0,0,0,0,0,5.459 7.212 8.127 8.448,0,86,True,9.58866554540349,0.6205357142857143,38.29993394225637,0.6416666666666667,8.0,0.28253615127919923,120.0,47.196317758014594,0.640625,0.6428571428571429,0.2834821428571428,0.0,,6
1,3.501 5.322 26.191 60.000,2.174 2.446 3.667 6.232,1.223 1.730 3.107 8.144,0,2.389 8.280 10.257 13.698,0,0,0,11.387 24.882 28.536 30.416,0,0,0,342,True,40.69389967975579,0.6079799107142857,95.74983485564091,0.6083333333333333,20.0,0.23783783783783777,120.0,49.179378651918384,0.40625,0.8392857142857143,0.2455357142857144,0.1,,6
2,4.656 8.705 50.799 69.132,0,0.985 1.844 4.001 5.883,0,0,3.000 27.027 217.153 903.349,0.028 0.073 1.237 1.256,0.211 0.249 0.611 0.747,0,0,0,0,335,True,40.698730227581464,0.5493861607142857,95.74983485564091,0.6,20.0,0.21225382932166298,120.0,49.0607403113289,0.484375,0.7321428571428571,0.2165178571428572,0.15000000000000002,,6
3,19.194 38.494 44.084 46.156,0,1.876 2.752 12.346 30.531,0,1.970 5.138 7.195 8.129,0,0.012 0.194 0.449 1.067,0,20.383 21.183 30.593 30.761,0.578 2.561 3.106 5.065,0,0.000 0.181 0.232 0.479,233,True,65.56811158054455,0.5979352678571429,134.0497687978973,0.575,28.0,0.18875927889713665,120.0,62.74137590592926,0.234375,0.9642857142857143,0.1986607142857144,0.0,,6
4,0,1.862 2.324 3.445 23.097,0.366 2.040 4.090 40.263,0,3.661 7.207 8.956 15.545,14.174 144.251 293.144 683.245,0,0,11.677 22.632 25.390 30.761,0,0,0,333,True,40.825242569715776,0.5926339285714286,95.74983485564091,0.5916666666666667,20.0,0.1769316909294512,120.0,46.0534628537278,0.640625,0.5357142857142857,0.1763392857142856,0.0,,6
5,0,0,0,63.503 96.423 346.596 749.250,4.803 6.801 8.812 10.391,0,0,0,11.677 22.632 25.390 30.761,0,0,0,337,True,19.354147379007614,0.544921875,57.44990091338455,0.575,12.0,0.17118093174431193,120.0,43.85418861661432,0.390625,0.7857142857142857,0.1763392857142856,0.75,,6
6,0,1.862 2.324 3.445 23.097,0.366 2.040 4.090 40.263,68.149 139.189 506.362 721.213,3.661 7.207 8.956 15.545,14.174 144.251 293.144 683.245,0,0,11.677 22.632 25.390 30.761,0,0,0,343,True,52.890190600834586,0.5930524553571429,114.8998018267691,0.5833333333333334,24.0,0.16294642857142863,120.0,47.975677957417254,0.609375,0.5535714285714286,0.1629464285714286,0.025,,6
7,3.211 5.322 56.430 69.266,2.174 2.446 3.667 6.232,1.230 2.061 2.364 7.631,104.908 382.560 410.643 607.712,5.777 7.693 9.890 10.164,0,0,0,11.387 24.882 26.675 30.416,0,0,0,235,True,52.54444595029439,0.5630580357142857,114.8998018267691,0.55,24.0,0.14736842105263168,120.0,57.029375717026426,0.15625,1.0,0.15625,0.17500000000000002,,6
8,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0,0,11.677 22.632 25.390 30.761,0,0,0,180,True,52.59782697197781,0.5705915178571428,114.8998018267691,0.55,24.0,0.14376321353065546,120.0,55.527366410145376,0.1875,0.9642857142857143,0.1517857142857144,0.15000000000000002,,6
9,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0,0,11.677 22.632 25.390 30.761,0,0,0,180,True,52.59782697197781,0.5705915178571428,114.8998018267691,0.55,24.0,0.14376321353065546,120.0,55.527366410145376,0.1875,0.9642857142857143,0.1517857142857144,0.15000000000000002,,6
10,5.053 22.067 41.948 57.397,0,0,63.308 125.249 423.464 570.443,0,0,0,0,0,0,0,0,332,True,9.414288611191395,0.5433872767857143,38.29993394225637,0.5416666666666666,8.0,0.11194833153928943,120.0,51.496010726753646,0.3125,0.8035714285714286,0.1160714285714286,0.2,,6
11,3.211 5.322 56.430 69.266,2.174 2.446 3.667 6.232,1.230 2.061 2.364 7.631,89.677 248.156 361.644 588.426,5.657 8.503 8.520 10.577,0,0.062 0.224 0.820 1.077,0.248 0.258 0.889 1.209,0,0,0,0,341,True,65.5642009664238,0.5546875,134.0497687978973,0.525,28.0,0.10283315844700949,120.0,62.86417457664578,0.109375,1.0,0.109375,0.025,,6
12,3.501 5.322 26.191 60.000,2.174 2.446 3.667 6.232,1.223 1.730 3.107 8.144,68.149 139.189 323.892 593.448,1.669 8.392 8.956 15.942,0,0.062 0.224 0.820 1.866,0.248 0.258 0.889 0.921,0,0,0,0,323,True,65.63096357062207,0.5521763392857143,134.0497687978973,0.525,28.0,0.09905163329820875,120.0,60.80032520753087,0.140625,0.9642857142857143,0.10491071428571441,0.05000000000000001,,6
13,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,2.194 3.850 11.155 41.057,252.608 255.452 485.745 684.633,0,0,0.044 0.082 0.642 1.084,0,0,0.444 2.701 3.976 52.913,0,0.028 0.174 0.403 0.994,239,True,65.57905529289837,0.5440848214285714,134.0497687978973,0.525,28.0,0.09523809523809532,120.0,62.39900168613284,0.171875,0.9285714285714286,0.1004464285714286,0.025,,6
14,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,2.194 3.850 11.155 41.057,252.608 255.452 485.745 684.633,0,0,0.044 0.082 0.642 1.084,0,0,0.444 2.701 3.976 52.913,0,0.028 0.174 0.403 0.994,239,True,65.57905529289837,0.5440848214285714,134.0497687978973,0.525,28.0,0.09523809523809532,120.0,62.39900168613284,0.171875,0.9285714285714286,0.1004464285714286,0.025,,6
15,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,2.194 3.850 11.155 41.057,252.608 255.452 485.745 684.633,0,0,0.044 0.082 0.642 1.084,0,0,0.444 2.701 3.976 52.913,0,0.028 0.174 0.403 0.994,239,True,65.57905529289837,0.5440848214285714,134.0497687978973,0.525,28.0,0.09523809523809532,120.0,62.39900168613284,0.171875,0.9285714285714286,0.1004464285714286,0.025,,6
16,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,2.194 3.850 11.155 41.057,252.608 255.452 485.745 684.633,0,0,0.044 0.181 0.659 1.086,0,0,0,7.236 7.681 7.774 8.606,0,200,True,52.39484843588771,0.5452008928571428,114.8998018267691,0.525,24.0,0.09523809523809532,120.0,61.4586908568197,0.171875,0.9285714285714286,0.1004464285714286,0.0,,6
17,12.517 19.412 33.031 43.813,0,0,0,0,0,0,0.253 0.289 0.767 0.942,0,0,5.459 7.212 8.127 8.448,0,287,True,18.739903108554785,0.5348772321428572,57.44990091338455,0.525,12.0,0.09139213602550483,120.0,59.62007647500031,0.203125,0.8928571428571429,0.0959821428571428,0.15000000000000002,,6
18,0,2.174 2.446 3.667 6.232,1.223 1.730 3.107 8.144,68.149 139.189 323.892 593.448,1.669 8.392 8.956 15.942,0,0.062 0.224 0.820 1.866,0,0,0,7.236 7.681 7.774 8.606,0,340,True,52.353589476150376,0.5458984374999999,114.8998018267691,0.5166666666666667,24.0,0.08613445378151265,120.0,62.739719731414645,0.109375,0.9821428571428571,0.0915178571428572,0.0,,6
19,0,0,0,63.308 125.249 423.464 570.443,0,85.039 116.799 371.844 509.780,0.033 0.073 1.237 1.646,0.211 0.249 0.395 0.747,0,0,0,0,84,True,29.08937645937284,0.4963727678571429,76.59986788451273,0.5166666666666667,16.0,0.0842105263157896,120.0,60.10472571665685,0.125,0.9642857142857143,0.08928571428571441,0.1,,6
20,0,0,0,63.308 125.249 423.464 570.443,0,85.039 116.799 371.844 509.780,0.033 0.073 1.237 1.646,0.211 0.249 0.395 0.747,0,0,0,0,84,True,29.08937645937284,0.4963727678571429,76.59986788451273,0.5166666666666667,16.0,0.0842105263157896,120.0,60.10472571665685,0.125,0.9642857142857143,0.08928571428571441,0.1,,6
21,0,0,0,63.308 125.249 423.464 570.443,0,85.039 116.799 371.844 509.780,0.033 0.073 1.237 1.646,0.211 0.249 0.395 0.747,0,0,0,0,84,True,29.08937645937284,0.4963727678571429,76.59986788451273,0.5166666666666667,16.0,0.0842105263157896,120.0,60.10472571665685,0.125,0.9642857142857143,0.08928571428571441,0.1,,6
22,3.501 5.322 26.191 60.000,2.174 2.446 3.667 6.232,1.223 1.730 3.107 8.144,68.149 139.189 323.892 593.448,1.669 8.392 8.956 15.942,0,0.062 0.224 0.820 1.866,0,0,0.444 2.701 3.976 52.913,0,0.028 0.174 0.403 0.916,327,True,80.04986674767672,0.5425502232142857,153.19973576902547,0.5166666666666667,32.0,0.08227848101265824,120.0,61.129689252778086,0.140625,0.9464285714285714,0.0870535714285714,0.025,,6
23,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,64.843 79.052 82.979 422.587,0,85.039 116.799 371.844 509.780,0,0.211 0.249 0.611 0.747,0,0,6.824 7.181 7.451 8.159,0,338,True,65.70954527541565,0.5263671875,134.0497687978973,0.5083333333333333,28.0,0.07329842931937168,120.0,58.457750834871,0.078125,1.0,0.078125,0.5750000000000001,,6
24,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,0,4.803 6.801 9.383 10.391,0,0.062 0.224 0.388 1.077,0,11.677 22.632 29.657 30.761,0,0,0.048 0.174 0.403 0.574,282,True,65.63950189812866,0.5124162946428571,134.0497687978973,0.5,28.0,0.058577405857740544,120.0,60.54131194138269,0.0625,1.0,0.0625,0.275,,6
25,0,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.144 0.147 0.470 1.070,0,11.677 22.632 25.390 30.761,0,0,0.028 0.174 0.403 0.584,277,True,65.6200814322336,0.53125,134.0497687978973,0.5,28.0,0.058577405857740544,120.0,61.13204562249456,0.0625,1.0,0.0625,0.20000000000000004,,6
26,0,0,0.655 2.009 16.105 54.781,0,0,61.976 147.847 192.004 588.434,0.024 0.062 1.260 1.260,0.235 0.260 0.614 0.950,0,1.419 1.893 56.245 81.689,0,0,264,True,40.289217007112484,0.45340401785714285,95.74983485564091,0.5,20.0,0.05660377358490571,120.0,60.208632489380776,0.078125,0.9821428571428571,0.060267857142857206,0.625,,6
27,3.501 5.322 26.191 60.000,2.174 2.446 3.667 6.232,1.223 1.730 3.107 8.144,68.149 139.189 323.892 593.448,1.669 8.392 8.956 15.942,0,0.062 0.224 0.820 1.866,0.248 0.258 0.889 0.921,0,0,0,0.028 0.174 0.403 0.665,293,True,80.0090645267588,0.52734375,153.19973576902547,0.5,32.0,0.054621848739495736,120.0,62.38961099835598,0.09375,0.9642857142857143,0.05803571428571441,0.05000000000000001,,6
28,0,1.862 2.324 3.445 23.097,0.366 2.040 4.090 40.263,68.149 139.189 506.362 721.213,3.661 7.207 8.956 15.545,14.174 144.251 293.144 683.245,0.045 0.173 0.470 1.072,0.236 0.258 0.889 0.921,0,0,0,0.028 0.174 0.403 0.653,274,True,80.01298571101357,0.5284598214285714,153.19973576902547,0.5,32.0,0.054621848739495736,120.0,62.26741025025872,0.09375,0.9642857142857143,0.05803571428571441,0.05000000000000001,,6
29,0,0,0,63.308 125.249 423.464 570.443,0,85.039 116.799 371.844 509.780,0,0.211 0.249 0.395 0.747,0,0,0,0.028 0.174 0.403 0.584,191,True,29.0757457322722,0.5252511160714286,76.59986788451273,0.5,16.0,0.04862579281183932,120.0,60.51576035774612,0.140625,0.9107142857142857,0.05133928571428559,0.0,,6
30,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.144 0.147 0.470 1.070,0,11.677 22.632 25.390 30.761,0,0,0.028 0.174 0.403 0.584,91,True,80.08709764784012,0.5184151785714286,153.19973576902547,0.49166666666666664,32.0,0.04388714733542316,120.0,60.00225894295815,0.046875,1.0,0.046875,0.55,,6
31,19.194 38.494 44.084 46.156,0,1.876 2.752 12.346 30.531,36.500 230.148 535.054 904.883,1.970 5.138 7.195 8.129,77.268 122.398 211.451 782.644,0,0,0,2.248 2.261 3.211 28.473,6.988 7.591 8.248 8.438,0,129,True,65.56141533841225,0.5,134.0497687978973,0.49166666666666664,28.0,0.04388714733542316,120.0,62.95179368385307,0.046875,1.0,0.046875,0.15000000000000002,,6
32,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.144 0.147 0.470 1.070,0,11.677 22.632 25.390 30.761,0,0,0.028 0.174 0.403 0.584,91,True,80.08709764784012,0.5184151785714286,153.19973576902547,0.49166666666666664,32.0,0.04388714733542316,120.0,60.00225894295815,0.046875,1.0,0.046875,0.55,,6
33,19.194 38.494 44.084 46.156,0,1.876 2.752 12.346 30.531,36.500 230.148 535.054 904.883,1.970 5.138 7.195 8.129,77.268 122.398 211.451 782.644,0,0,0,2.248 2.261 3.211 28.473,6.988 7.591 8.248 8.438,0,129,True,65.56141533841225,0.5,134.0497687978973,0.49166666666666664,28.0,0.04388714733542316,120.0,62.95179368385307,0.046875,1.0,0.046875,0.15000000000000002,,6
34,4.656 8.705 50.799 69.132,0,0.985 1.844 4.001 5.883,0,0,671.647 754.591 763.611 909.103,0,0,0,0,0,0,46,False,19.00618721627357,0.46791294642857145,57.44990091338455,0.49166666666666664,12.0,0.04388714733542316,120.0,52.187881726122924,0.046875,1.0,0.046875,0.9500000000000001,,6
35,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.144 0.147 0.470 1.070,0,11.677 22.632 25.390 30.761,0,0,0.028 0.174 0.403 0.584,91,True,80.08709764784012,0.5184151785714286,153.19973576902547,0.49166666666666664,32.0,0.04388714733542316,120.0,60.00225894295815,0.046875,1.0,0.046875,0.55,,6
36,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.144 0.147 0.470 1.070,0,11.677 22.632 25.390 30.761,0,0,0.028 0.174 0.403 0.584,91,True,80.08709764784012,0.5184151785714286,153.19973576902547,0.49166666666666664,32.0,0.04388714733542316,120.0,60.00225894295815,0.046875,1.0,0.046875,0.55,,6
37,0,2.174 2.421 3.445 29.344,0,68.149 139.189 506.362 721.213,3.661 7.207 8.956 9.340,13.264 144.681 226.584 617.796,0.043 0.180 0.679 0.968,0,0,0,0,0,330,True,40.27169903647699,0.49986049107142855,95.74983485564091,0.5,20.0,0.03225806451612913,120.0,60.7383153732313,0.265625,0.7678571428571429,0.033482142857142794,0.0,,6
38,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.045 0.173 0.470 1.072,0.236 0.258 0.889 0.921,0,0,0,0.028 0.174 0.473 0.653,334,True,80.0224102837723,0.48828125,153.19973576902547,0.48333333333333334,32.0,0.02922755741127357,120.0,61.97467864033832,0.03125,1.0,0.03125,0.4,,6
39,4.656 8.705 50.799 69.132,1.950 3.818 12.191 20.581,0,63.308 125.249 433.972 689.784,0,188.034 219.631 445.886 651.218,0.033 0.073 1.237 1.256,0.211 0.249 0.611 0.747,0,0,0,0,325,True,52.3385957425708,0.490234375,114.8998018267691,0.475,24.0,0.01459854014598539,120.0,63.21183854739977,0.015625,1.0,0.015625,0.275,,6
40,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,2.194 3.850 11.155 41.057,252.608 255.452 485.745 684.633,0,0,0.044 0.082 0.642 1.084,0.248 0.258 0.889 0.921,23.148 24.557 28.561 31.912,0,0,0,328,True,65.53556598441344,0.47265625000000006,134.0497687978973,0.475,28.0,0.01459854014598539,120.0,63.77070597243639,0.015625,1.0,0.015625,0.6000000000000001,,6
41,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,0,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0.069 0.074 0.236 1.125,0,0,1.123 4.153 9.228 82.016,0,0,346,True,52.430646214961115,0.4603794642857143,114.8998018267691,0.475,24.0,0.010471204188481638,120.0,60.368434831165025,0.046875,0.9642857142857143,0.011160714285714413,0.75,,6
42,0,0,0.841 2.013 20.083 55.840,0,0,0,0.020 0.038 1.260 1.260,0.235 0.261 0.820 0.949,0,0,0,0,329,True,18.62869368567202,0.4637276785714286,57.44990091338455,0.49166666666666664,12.0,0.004352557127312215,120.0,63.029135163274375,0.34375,0.6607142857142857,0.004464285714285587,0.05,,6
43,19.194 38.494 44.084 46.156,0,0,0,5.037 5.373 6.775 7.523,78.501 112.543 410.540 1056.759,0.033 0.073 1.237 1.793,0.211 0.249 0.611 0.747,0,0,0,0.093 0.244 0.524 0.526,321,True,52.31381278064907,0.5,114.8998018267691,0.4666666666666667,24.0,0.0,120.0,64.0,0.0,1.0,0.0,0.5,,6
44,0,0,0,252.384 282.814 561.838 749.250,1.970 5.138 7.195 8.129,80.706 120.098 150.719 966.069,0,0,22.328 24.505 26.050 30.254,2.248 2.261 3.211 28.473,6.988 7.591 8.248 8.438,0,322,True,52.31381278064907,0.5,114.8998018267691,0.4666666666666667,24.0,0.0,120.0,64.0,0.0,1.0,0.0,0.5,,6
45,4.656 8.705 50.799 69.132,0,0.985 1.844 4.001 5.883,0,0,671.647 754.591 763.611 909.103,0,0,24.629 25.657 28.691 29.496,0,0,0,324,True,28.96378723133891,0.5,76.59986788451273,0.4666666666666667,16.0,0.0,120.0,64.0,0.0,1.0,0.0,0.5,,6
46,0,0,0.985 2.201 4.001 5.883,0,0,422.598 630.210 978.730 1001.888,0,0,0,0,0,0,326,True,8.983330139919676,0.49330357142857145,38.29993394225637,0.4666666666666667,8.0,0.0,120.0,63.8785470877699,0.0,1.0,0.0,0.625,,6
47,0,4.320 5.122 18.363 19.602,0,63.308 125.249 423.464 570.443,0,0,0.033 0.073 1.237 1.646,0.211 0.249 0.395 0.747,0,0,0,0.028 0.174 0.403 1.305,331,True,40.163955006126,0.4642857142857143,95.74983485564091,0.4666666666666667,20.0,0.0,120.0,64.10015226553978,0.0,1.0,0.0,0.6000000000000001,,6
48,0,0,0,63.308 125.249 423.464 570.443,0,419.328 899.002 1001.350 1153.572,0,0.249 0.287 0.713 0.756,0,0,0,0.023 0.295 0.328 0.421,336,True,28.96378723133891,0.5,76.59986788451273,0.4666666666666667,16.0,0.0,120.0,64.0,0.0,1.0,0.0,0.5,,6
49,3.211 5.322 56.430 69.266,1.862 2.324 3.445 23.097,2.194 3.850 11.155 41.057,252.608 255.452 485.745 684.633,4.658 6.613 6.621 7.302,0,0.044 0.181 0.659 1.086,0.248 0.258 0.889 0.921,23.211 24.640 30.219 31.556,0,0,0.026 0.174 0.403 0.665,339,True,95.7639104466019,0.48214285714285715,172.34970274015365,0.4666666666666667,36.0,0.0,120.0,64.4724207947198,0.0,1.0,0.0,0.75,,6
50,0,1.862 2.324 3.445 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,0,0,0.045 0.173 0.470 1.072,0.236 0.258 0.889 0.921,0,0,0,0.100 0.174 0.403 0.729,344,True,52.36420764792997,0.4871651785714286,114.8998018267691,0.4666666666666667,24.0,0.0,120.0,62.4075118111612,0.0,1.0,0.0,0.7,,6
51,0,4.319 5.163 10.272 21.895,0,63.308 125.249 423.464 570.443,0,85.039 116.799 371.844 509.780,0.033 0.073 1.237 1.646,0,11.677 22.632 25.390 30.761,0,0,0,345,True,40.16613000193744,0.45535714285714285,95.74983485564091,0.4666666666666667,20.0,0.0,120.0,64.03048137453517,0.0,1.0,0.0,0.575,,6
0,12.517 19.412 33.031 43.813,0,0,0,0,0,0,0,0,0,5.459 7.212 8.127 8.448,0,86,True,9.58866554540349,0.6205357142857143,38.29993394225637,0.6416666666666667,8.0,0.28253615127919923,120.0,47.196317758014594,0.640625,0.6428571428571429,0.2834821428571428,0.0,,7
1,3.800 5.322 55.491 60.000,2.174 2.446 3.667 6.232,1.223 2.203 3.107 35.668,0,2.389 8.280 9.901 13.698,0,0,0,11.387 19.929 28.536 44.974,0,0,0,342,True,40.69389967975579,0.6079799107142857,95.74983485564091,0.6083333333333333,20.0,0.23783783783783777,120.0,49.179378651918384,0.40625,0.8392857142857143,0.2455357142857144,0.1,,7
2,3.800 5.322 55.491 60.000,2.174 2.446 3.667 6.232,1.223 2.203 3.107 35.668,0,2.389 8.280 9.901 13.698,0,0,0,11.387 19.929 28.536 44.974,0,0,0,342,True,40.69389967975579,0.6079799107142857,95.74983485564091,0.6083333333333333,20.0,0.23783783783783777,120.0,49.179378651918384,0.40625,0.8392857142857143,0.2455357142857144,0.1,,7
3,3.800 5.322 55.491 60.000,2.174 2.446 3.667 6.232,1.223 2.203 3.107 35.668,0,2.389 8.280 9.901 13.698,0,0,0,11.387 19.929 28.536 44.974,0,0,0,342,True,40.69389967975579,0.6079799107142857,95.74983485564091,0.6083333333333333,20.0,0.23783783783783777,120.0,49.179378651918384,0.40625,0.8392857142857143,0.2455357142857144,0.1,,7
4,7.919 8.705 50.799 69.132,0,0.985 3.993 4.001 5.883,0,0,3.000 27.027 217.153 903.349,0.028 0.073 1.237 1.256,0.211 0.249 0.611 0.747,0,0,0,0,335,True,40.698730227581464,0.5493861607142857,95.74983485564091,0.6,20.0,0.21225382932166298,120.0,49.0607403113289,0.484375,0.7321428571428571,0.2165178571428572,0.15000000000000002,,7
5,19.194 38.494 44.084 46.156,0,1.876 2.752 12.346 30.531,0,1.970 5.138 7.195 8.129,0,0.012 0.194 0.449 1.067,0,20.383 21.183 30.593 30.761,0.578 2.561 3.106 5.065,0,0.000 0.181 0.232 0.479,233,True,65.56811158054455,0.5979352678571429,134.0497687978973,0.575,28.0,0.18875927889713665,120.0,62.74137590592926,0.234375,0.9642857142857143,0.1986607142857144,0.0,,7
6,3.800 5.322 55.491 60.000,2.174 2.446 3.667 6.232,1.223 1.730 3.107 8.144,0,2.027 2.808 10.650 10.785,10.869 162.115 563.765 844.895,0.031 0.035 0.685 0.758,0,11.387 24.882 28.536 30.416,0,0,0,384,True,65.85850098071468,0.5767299107142858,134.0497687978973,0.5583333333333333,28.0,0.1515474919957311,120.0,54.26212299055338,0.265625,0.8928571428571429,0.1584821428571428,0.2,,7
7,3.211 5.322 56.430 63.310,2.174 2.446 3.667 6.232,1.230 2.061 2.364 7.631,104.908 382.560 410.643 607.712,5.777 7.693 9.890 10.164,0,0,0,11.387 24.882 26.675 30.416,0,0,0,235,True,52.54444595029439,0.5630580357142857,114.8998018267691,0.55,24.0,0.14736842105263168,120.0,57.029375717026426,0.15625,1.0,0.15625,0.17500000000000002,,7
8,3.211 5.322 56.430 63.310,1.199 2.318 13.326 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0,0,11.677 22.632 25.390 41.011,0,0,0,180,True,52.59782697197781,0.5705915178571428,114.8998018267691,0.55,24.0,0.14376321353065546,120.0,55.527366410145376,0.1875,0.9642857142857143,0.1517857142857144,0.15000000000000002,,7
9,3.211 5.322 56.430 63.310,1.199 2.318 13.326 23.097,1.886 2.040 6.728 8.144,65.163 99.402 323.892 953.960,4.803 6.801 9.383 10.391,0,0,0,11.677 22.632 25.390 41.011,0,0,0,180,True,52.59782697197781,0.5705915178571428,114.8998018267691,0.55,24.0,0.14376321353065546,120.0,55.527366410145376,0.1875,0.9642857142857143,0.1517857142857144,0.15000000000000002,,7
10,3.800 5.322 55.491 60.000,2.174 2.446 3.667 6.232,1.223 2.203 3.107 35.668,0,2.389 8.280 9.901 13.698,0,0,0,11.387 19.929 28.536 44.974,0,0,0,373,True,40.654140574567556,0.5357142857142857,95.74983485564091,0.55,20.0,0.1401273885350319,120.0,50.16682517450255,0.21875,0.9285714285714286,0.1473214285714286,0.5,,7
